brand,name,common_name,variant,attributes,attributes_unpublished,category_hint,weight_mg,weight_source,source_url,kcal
PaaGo Works,NINJA TENT,Tent,,persons=2,,shelter,1160000,manufacturer,https://www.paagoworks.com/en/products/ninja-tent,
Samaya Equipment,INSPIRE2 Tent,Tent,,persons=2,,shelter,1230000,manufacturer,https://www.garagegrowngear.com/products/inspire2-tent-by-samaya-equipment,
Samaya Equipment,INSTANT2 Footprint,Groundsheet,,,,shelter,152000,manufacturer,https://www.garagegrowngear.com/products/instant2-footprint-by-samaya,
Samaya Equipment,INSTANT2 Tent,Tent,,persons=2,,shelter,995000,manufacturer,https://www.garagegrowngear.com/products/instant2-by-samaya,
Samaya Equipment,OPTI1.5 Tent,Tent,,persons=1.5,,shelter,700000,manufacturer,https://www.garagegrowngear.com/products/opti1-5-tent-by-samaya,
Samaya Equipment,RADICAL1 Footprint,Groundsheet,,,,shelter,90000,manufacturer,https://www.garagegrowngear.com/products/radical1-footprint-by-samaya-equipment,
Samaya Equipment,RADICAL1 Tent,Tent,,persons=1,,shelter,610000,manufacturer,https://www.garagegrowngear.com/products/radical1-tent-by-samaya-equipment,
Samaya Equipment,Samaya2.0 Footprint,Groundsheet,,,,shelter,155000,manufacturer,https://www.garagegrowngear.com/products/samaya2-0-footprint-by-samaya,
Samaya Equipment,Samaya2.0 Tent,Tent,,persons=2,,shelter,1305000,manufacturer,https://www.garagegrowngear.com/products/samaya2-0-tent-by-samaya,
Samaya Equipment,Samaya2.0 Vestibule,Vestibule,,,,shelter,550000,manufacturer,https://www.garagegrowngear.com/products/samaya2-0-vestibule-by-samaya,
Samaya Equipment,Samaya2.5 Tent,Tent,,persons=2.5,,shelter,1570000,manufacturer,https://www.garagegrowngear.com/products/samaya2-5-tent-by-samaya,
Samaya Equipment,Samaya2.5 Vestibule,Vestibule,,,,shelter,630000,manufacturer,https://www.garagegrowngear.com/products/samaya2-5-vestibule-by-samaya,
Samaya Equipment,TARP_001,Tarp,,,,shelter,165000,manufacturer,https://www.garagegrowngear.com/products/tarp_001-by-samaya-equipment,
Sea to Summit,Telos Evo Tent,Tent,TR2,persons=2,,shelter,1625000,manufacturer,https://seatosummit.com/products/telos-evo-tent,
Six Moon Designs,Gatewood Cape,Poncho tarp,,,,shelter,311845,manufacturer,https://www.sixmoondesigns.com/products/gatewood-cape,
Six Moon Designs,Haven Two Person Tent,Tent,,persons=2,,shelter,963000,manufacturer,https://www.garagegrowngear.com/products/haven-two-person-ultralight-tent-by-six-moon-designs,
Six Moon Designs,Lunar Duo Explorer,Tent,,persons=2,,shelter,1276000,manufacturer,https://www.garagegrowngear.com/products/lunar-duo-explorer-by-six-moon-designs,
Six Moon Designs,Lunar Duo Outfitter,Tent,,persons=2,,shelter,1600000,manufacturer,https://www.garagegrowngear.com/products/lunar-duo-outfitter-by-six-moon-designs,
Six Moon Designs,Lunar Solo,Tent,,persons=1,,shelter,737088,manufacturer,https://www.sixmoondesigns.com/products/lunar-solo-tent,
Six Moon Designs,Polycro Footprint,Groundsheet,Large,size=L,,shelter,51000,manufacturer,https://www.garagegrowngear.com/products/footprint-polycro-by-six-moon-designs,
Six Moon Designs,Polycro Footprint,Groundsheet,Small,size=S,,shelter,43000,manufacturer,https://www.garagegrowngear.com/products/footprint-polycro-by-six-moon-designs,
Six Moon Designs,Skyscape Scout,Tent,,persons=1,,shelter,1134000,manufacturer,https://www.garagegrowngear.com/products/skyscape-scout-by-six-moon-designs,
Six Moon Designs,Skyscape Trekker,Tent,,persons=1,,shelter,793787,manufacturer,https://www.sixmoondesigns.com/products/skyscape-trekker-hiking-tent,
Six Moon Designs,Tyvek Footprint,Groundsheet,Large,size=L,,shelter,198000,manufacturer,https://www.garagegrowngear.com/products/footprint-tyvek-by-six-moon-designs,
Six Moon Designs,Tyvek Footprint,Groundsheet,Small,size=S,,shelter,128000,manufacturer,https://www.garagegrowngear.com/products/footprint-tyvek-by-six-moon-designs,
SlingFin,2Lite,Tent,2P,persons=2,,shelter,1190000,manufacturer,https://www.slingfin.com/products/2lite,
